ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2012,SP,,ITAQUAQUECETUBA,3523107.0,35912323,912323,,97.98,1.35,0.67,87.82,9.74,2.44,64.96,15.33,19.71
2012,SP,,MAUA,3529401.0,35904715,904715,,95.5,4.14,0.36,97.58,2.23,0.19,,9.91,2.7
2012,SP,,MAUA,3544103.0,35007857,7857,,98.26,1.39,0.35,92.09,3.95,3.95,84.94,5.86,9.21
2012,SP,,LESTE 4,3550308.0,35902810,902810,,93.22,4.72,2.06,81.91,11.17,6.91,62.72,19.71,17.56
2012,SP,,LESTE 2,3550308.0,35002963,2963,,92.72,2.49,4.8,81.77,10.47,7.76,70.15,11.32,18.52
2012,SP,,LESTE 2,3550308.0,35002999,2999,,96.38,2.23,1.39,88.75,8.61,2.64,,37.9,6.75
2012,SP,,LESTE 3,3550308.0,35037060,37060,,89.1,4.74,6.16,84.9,7.35,7.76,76.68,14.35,8.97
2012,SP,,SUL 3,3550308.0,35005344,5344,,93.11,6.12,0.77,91.62,4.1,4.28,80.36,9.67,9.97
2012,SP,,SANTOS,3548500.0,35038805,38805,,81.63,14.97,3.4,88.8,5.9,5.3,74.16,10.08,15.76
2012,SP,,SUL 2,3550308.0,35041051,41051,,95.54,3.18,1.27,75.93,22.13,1.94,53.92,43.84,
2012,SP,,SUL 2,3550308.0,35041786,41786,,96.44,0.56,3.0,69.91,14.95,15.14,50.6,25.7,23.69
2012,SP,,MOGI DAS CRUZES,3530607.0,35048495,48495,,93.71,4.72,1.57,85.77,8.72,5.5,64.16,15.3,20.55
2012,SP,,SUL 2,3550308.0,35035592,35592,,95.1,1.47,3.43,81.37,12.97,5.66,72.68,16.75,
